dim1,dim2,herb_name
11.968219,-13.28502,天然冰片（右旋龙脑）
11.453886,-12.67688,木芙蓉叶
9.296591,-13.203593,五加皮
11.087199,-8.863578,毛诃子
9.786337,-13.466782,片姜黄
10.736658,-8.872184,乌梢蛇
8.4960165,-14.35353,巴豆霜
14.349998,-12.412675,水牛角
8.464517,-14.367235,水蛭
11.034113,-7.359663,炙甘草
11.973015,-13.305837,艾片（左旋龙脑）
10.901018,-14.373998,石吊兰
12.752295,-9.446284,石决明
8.923097,-8.751147,石斛
11.677461,-7.354695,石膏
12.136893,-7.388326,煅石膏
8.853749,-10.46837,龙眼肉
11.910355,-10.229186,白矾
11.844541,-12.426892,瓜子金
12.299105,-7.6696634,瓜蒌子
12.328991,-7.6263704,炒瓜蒌子
12.257344,-7.4924893,瓜蒌皮
12.69377,-10.868069,冬凌草
14.693752,-11.14498,玄明粉
10.4353075,-15.662003,法半夏
10.399144,-15.681216,姜半夏
10.351233,-15.701797,清半夏
10.257632,-15.737566,母丁香
11.448946,-8.257894,丝瓜络
12.7628,-9.38951,地龙
14.732683,-11.164234,芒硝
8.319827,-10.505056,亚乎奴（锡生藤）
12.53464,-7.7580194,西瓜霜
11.809699,-10.223183,西青果
15.120815,-11.325559,当药
8.66165,-9.767913,虫白蜡
10.040318,-9.35547,朱砂
11.479196,-12.675961,朱砂根
11.732585,-7.235445,竹茹
11.143423,-12.577129,自然铜
11.162489,-11.771221,血余炭
10.449497,-8.858681,血竭
11.094147,-12.624395,全蝎
10.5465,-8.719046,合欢皮
10.590388,-8.940156,合欢花
9.443791,-14.254147,灯盏细辛（灯盏花）
13.354891,-11.404133,红大戟
14.709358,-12.257022,红花龙胆
9.455781,-7.8962955,炙红芪
10.368427,-15.369439,红豆蔻
8.500928,-14.723746,红粉
12.836431,-11.315326,红景天
11.749036,-7.2386084,麦冬
10.509436,-14.39393,远志
8.593511,-10.291584,赤石脂
11.264437,-10.204911,花蕊石
10.259016,-8.756215,苏木
12.13967,-11.872887,杠板归
8.035506,-9.648857,巫山淫羊藿
8.456658,-9.214749,牡蛎
10.890894,-11.11777,体外培育牛黄
10.154811,-10.720448,何首乌
10.105724,-10.735549,制何首乌
9.769592,-11.76016,皂矾（绿矾）
8.781996,-10.96422,谷芽
8.406532,-9.189791,龟甲
8.724913,-9.355488,龟甲胶
10.511819,-14.049765,补骨脂
10.136587,-8.246627,阿胶
11.278066,-14.11997,阿魏
12.167565,-7.4525747,忍冬藤
11.141853,-7.947515,鸡内金
10.384445,-8.732894,青礞石
13.483594,-11.7465315,苦木
13.897435,-11.680198,苦玄参
11.438284,-12.889426,枫香脂
9.447406,-14.96864,刺五加
9.414464,-8.068644,明党参
11.65977,-10.161867,岩白菜
14.037637,-11.836677,金龙胆草
7.7306824,-9.339201,金钱白花蛇
9.634596,-13.39959,金铁锁
10.362093,-8.694054,金礞石
7.8693953,-9.886746,狗脊
10.119934,-8.8989525,炉甘石
12.98776,-9.049173,珍珠
12.905211,-9.2537985,珍珠母
11.685606,-13.00627,荆芥炭
11.703083,-12.971259,荆芥穗炭
8.015354,-13.9293165,制草乌
10.114947,-15.647845,草豆蔻
10.169945,-7.4678693,茯苓皮
13.705026,-12.814867,南板蓝根
13.37773,-11.983466,焦栀子
11.624592,-13.350511,厚朴花
12.698431,-12.749196,轻粉
10.117077,-7.5014515,哈蟆油
8.81818,-8.222515,钟乳石
10.872361,-11.574139,重楼
11.615951,-7.8749776,禹余粮
9.887268,-11.492639,胆南星
10.879529,-9.436281,独一味
10.55894,-8.908225,首乌藤
14.155028,-11.254087,洪连
12.6653595,-10.8433,珠子参
10.137535,-7.997638,莲子
10.620817,-11.134202,桃枝
8.917292,-8.749844,铁皮石斛
12.808503,-12.45427,臭灵丹草
10.83857,-12.779479,狼毒
14.0220175,-12.058659,高山辣根菜
9.265587,-10.7223425,粉葛
7.7771792,-9.347909,海马
7.6923537,-9.402157,海龙
7.4824767,-9.536429,海螵蛸
12.706625,-11.952915,通关藤
10.080732,-8.62527,桑螵蛸
11.408199,-11.532663,黄山药
9.404761,-7.8630114,炙黄芪
12.665739,-8.712436,黄蜀葵花
14.347641,-12.446607,黄藤
8.83297,-14.195128,菥蓂
15.024183,-11.35388,救必应
11.952227,-11.7350855,野马追
11.595164,-9.1160555,野木瓜
10.416957,-8.794648,蛇蜕
14.38006,-11.746991,猪胆粉
7.638991,-9.433108,鹿角
7.685665,-9.402391,鹿角胶
7.5459986,-9.523675,鹿角霜
7.7136908,-9.395851,鹿茸
12.860825,-9.2730255,羚羊角
12.102931,-7.183737,淡竹叶
11.960549,-11.227041,绵马贯众炭
11.681952,-10.280456,棕榈
8.409852,-10.190381,硫黄
9.080798,-13.824244,雄黄
8.901013,-7.827597,紫石英
10.315832,-15.387318,紫苏梗
12.277349,-11.035537,紫珠叶
12.431014,-11.062746,紫萁贯众
13.399149,-10.416197,蛤壳
10.142443,-7.5349636,蛤蚧
8.305001,-10.701351,黑种草子
7.965512,-9.293054,锁阳
13.476746,-12.080191,筋骨草
10.466722,-10.086428,湖北贝母
11.546124,-11.162199,滑石
12.2506075,-7.2913194,滑石粉
12.235543,-11.80204,蓍草
9.506923,-9.434038,蓝布正
13.824394,-10.967997,蒲公英
9.41996,-14.135749,蜈蚣
11.182244,-8.472565,蜂房
12.552599,-13.102437,蜂胶
9.685985,-9.326137,蜂蜡
10.838265,-7.954313,蜂蜜
7.816901,-9.925105,滇鸡血藤
11.650253,-11.425897,裸花紫珠
11.44789,-7.9790163,榧子
9.599419,-11.228355,榼藤子
11.121091,-14.878537,焦槟榔
12.7766285,-9.279148,磁石
9.934336,-15.599595,蜘蛛香
14.007899,-12.022532,赭石
7.736874,-9.512342,蕲蛇
12.746279,-11.990344,暴马子皮
8.803003,-10.98557,稻芽
11.27052,-12.341143,僵蚕
11.531628,-11.17163,颠茄草
10.793281,-14.42009,藏菖蒲
13.451374,-12.431136,翼首草
9.471093,-14.661469,蟾酥
8.198954,-9.1751175,鳖甲
9.385182,-14.856796,麝香
13.157505,-8.701021,地黄
11.506072,-7.476401,有瓜石斛
10.045952,-7.883646,茯神
